Address;AddressFM;location;point;Lat;Long
Hermannstraße;Frankfurt am Main Hermannstraße;Hermannstraße, Nordend West, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60318, Deutschland;50.123021, 8.6838138, 0.0;50.123021; 8.6838138
Hermesweg;Frankfurt am Main Hermesweg;Hermesweg, Nordend Ost, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60316, Deutschland;50.1181372, 8.6931892, 0.0;50.1181372; 8.6931892
Herrenapfelstraße;Frankfurt am Main Herrenapfelstraße;Herrenapfelstraße, Preungesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60435, Deutschland;50.1532319, 8.7012596, 0.0;50.1532319; 8.7012596
Herrenwäldchen;Frankfurt am Main Herrenwäldchen;Herrenwäldchen, Bornheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60385, Deutschland;50.1337517, 8.720807, 0.0;50.1337517; 8.720807
Herriotstraße;Frankfurt am Main Herriotstraße;Herriotstraße, Bürostadt Niederrad, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60528, Deutschland;50.0801166, 8.6285788, 0.0;50.0801166; 8.6285788
Herrnstraße;Frankfurt am Main Herrnstraße;Herrnstraße, Oberrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60599, Deutschland;50.0983294, 8.7273586, 0.0;50.0983294; 8.7273586
Hersfelder Straße;Frankfurt am Main Hersfelder Straße;Hersfelder Straße, Bockenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60487, Deutschland;50.1228315, 8.6359217, 0.0;50.1228315; 8.6359217
Herweghstraße;Frankfurt am Main Herweghstraße;Herweghstraße, Eschersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60431, Deutschland;50.1514087, 8.660421, 0.0;50.1514087; 8.660421
Herxheimerstraße;Frankfurt am Main Herxheimerstraße;Herxheimerstraße, Friedrich-Ebert-Siedlung, Europaviertel, Gallus, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60326, Deutschland;50.0983078, 8.6241659, 0.0;50.0983078; 8.6241659
Herzbergstraße;Frankfurt am Main Herzbergstraße;Herzbergstraße, Niederursel, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1656933, 8.6299111, 0.0;50.1656933; 8.6299111
Herzogstraße;Frankfurt am Main Herzogstraße;Herzogstraße, Niederrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60528, Deutschland;50.0812663, 8.6487835, 0.0;50.0812663; 8.6487835
Hesselbergweg;Frankfurt am Main Hesselbergweg;Hesselbergweg, KGC Taunusblick Anlage F, Zeilsheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0991212, 8.5079614, 0.0;50.0991212; 8.5079614
Hessenplatz;Frankfurt am Main Hessenplatz;Hessenplatz, Bockenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60487, Deutschland;50.1239518, 8.6426562, 0.0;50.1239518; 8.6426562
Hessestraße;Frankfurt am Main Hessestraße;Hessestraße, Heddernheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1635708, 8.6457834, 0.0;50.1635708; 8.6457834
Heugasse;Frankfurt am Main Heugasse;Heugasse, Unterliederbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1106797, 8.5319794, 0.0;50.1106797; 8.5319794
Heusingerstraße;Frankfurt am Main Heusingerstraße;Heusingerstraße, Nied, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65934, Deutschland;50.1070801, 8.5785874, 0.0;50.1070801; 8.5785874
Heussenstammstraße;Frankfurt am Main Heussenstammstraße;Heussenstammstraße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60433, Deutschland;50.1488818, 8.6733501, 0.0;50.1488818; 8.6733501
Heussleinstraße;Frankfurt am Main Heussleinstraße;Heussleinstraße, Sindlingen, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0885084, 8.5117946, 0.0;50.0885084; 8.5117946
Heylstraße;Frankfurt am Main Heylstraße;Heylstraße, Eschersheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60431, Deutschland;50.151134, 8.658087, 0.0;50.151134; 8.658087
Hibiskusstraße;Frankfurt am Main Hibiskusstraße;Hibiskusstraße, Parkstadt Unterliederbach, Unterliederbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1059645, 8.5272708, 0.0;50.1059645; 8.5272708
Hildburghäuser Weg;Frankfurt am Main Hildburghäuser Weg;Hildburghäuser Weg, Zeilsheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65931, Deutschland;50.0953871, 8.4970061, 0.0;50.0953871; 8.4970061
Hildegard-Schaeder-Straße;Frankfurt am Main Hildegard-Schaeder-Straße;Hildegard-Schaeder-Straße, Oberrad, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60599, Deutschland;50.0946329, 8.7236315, 0.0;50.0946329; 8.7236315
Hildegard-von-Bingen-Weg;Frankfurt am Main Hildegard-von-Bingen-Weg;Hildegard-von-Bingen-Weg, Niederursel, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60439, Deutschland;50.1681807, 8.6423887, 0.0;50.1681807; 8.6423887
Hilligengasse;Frankfurt am Main Hilligengasse;Hilligengasse, Höchst, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1004707, 8.5485421, 0.0;50.1004707; 8.5485421
Hinter dem Sausee;Frankfurt am Main Hinter dem Sausee;Hinter dem Sausee, Wagenplatz Borsigallee, Seckbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1378769, 8.7295453, 0.0;50.1378769; 8.7295453
